customer_id,customer_name,customer_payment_type,customer_age,customer_region,customer_signup_date
373,Bashir Nerys,mastercard,31,Northeast,2021-04-30
374,Christina Palpatine,visa,21,Southeast,2024-04-11
375,Dink Solo,mastercard,50,West,2021-06-14
376,Alia Harkonnen,visa,33,West,2023-04-07
377,Bard Herondale,mastercard,23,Northeast,2023-05-09
378,Bashir Fairchild,visa,31,West,2024-10-03
379,Crusher Graff,visa,26,Northeast,2024-10-07
380,Odo Lankowski,visa,18,South,2023-07-28
381,Kira Herondale,visa,31,Southeast,2023-11-03
382,Elend Erikeller,visa,41,Midwest,2022-08-07
383,Alexandar Crusher,visa,59,West,2023-12-20
384,Legolas Carpenter,mastercard,24,West,2021-10-03
385,Elend Venture,visa,36,Southeast,2024-05-23
386,Leto Mellark,visa,49,Northeast,2022-05-30
387,Boromir Hawat,ach,18,South,2022-11-15
388,Padme Erikeller,visa,46,Midwest,2024-02-04
389,Troi Pedrad,visa,22,West,2024-11-16
390,Lysander Palpatine,visa,53,Southeast,2021-10-31
391,Ender Erikeller,visa,20,Southeast,2023-01-03
392,Leto Luccio,visa,53,Northeast,2023-04-13
393,Kira Penrod,mastercard,44,Northeast,2021-02-20
394,Romulus Everdeen,visa,28,South,2024-12-07
395,Bilbo Snow,visa,30,Southeast,2023-08-01
396,Jasnah Molo,visa,60,Northeast,2022-01-31
397,Nynaeve Everdeen,ach,40,Midwest,2024-08-06
398,Gale Wright,visa,25,West,2022-06-19
399,Romulus Fairchild,ach,56,Midwest,2023-06-09
400,Jasnah Graff,mastercard,54,South,2022-01-25
401,Vin Oakenshield,visa,52,South,2024-11-07
402,LaForge Carpenter,mastercard,22,Northeast,2024-09-22
403,Adolin Targaryen,mastercard,37,Midwest,2023-11-05
404,Kaladin Carpenter,visa,62,South,2022-08-29
405,Effie Erikeller,visa,42,Northeast,2024-10-19
406,Leia Sadeas,visa,53,West,2021-01-01
407,Dockson Arkanian,visa,56,Northeast,2024-09-02
408,Dalinar Picard,visa,31,South,2023-11-13
409,Alai Kholin,visa,60,Southeast,2024-07-20
410,Kira Everdeen,ach,37,Southeast,2022-04-06
411,Jessica Yomen,mastercard,48,Southeast,2024-06-05
412,Padme Corrino,visa,54,South,2022-02-03
413,Crusher Prior,visa,27,South,2024-09-05
414,Riker Baggins,visa,29,Southeast,2024-11-26
415,Haymitch Picard,mastercard,47,Southeast,2021-10-01
416,Mace Picard,mastercard,57,West,2023-10-31
417,Thom Shadowhunter,visa,48,South,2023-07-11
418,Elend alVere,visa,33,Midwest,2022-07-17
419,Valentine Corrino,visa,39,Midwest,2022-10-17
420,Cinna Fenring,visa,42,Northeast,2024-11-22
421,Lysander Veden,mastercard,39,Southeast,2024-01-17
422,Petra Johnson,visa,42,Southeast,2024-04-11
423,Data Took,mastercard,18,West,2022-12-22
424,Dockson Prior,visa,32,South,2022-07-13
425,Ender Nerys,visa,60,Southeast,2024-10-22
426,Mace Wright,visa,57,Northeast,2023-12-30
427,Frodo Eaton,visa,59,West,2023-05-28
428,Virginia Picard,mastercard,42,Northeast,2022-11-02
429,Irulan Riker,mastercard,35,Midwest,2023-05-14
430,Vin Fenring,mastercard,52,South,2021-04-17
